"ID";"IDNr";"Punkt";"Referenzgebiet";"IUGNr";"AusserhalbIUG";"Datum";"Uhrzeit";"Begehungsdurchgang";"WannLetzterSchneefall";"X-Koordinaten";"Y-Koordinaten";"GPS";"Art";"unsicher bei Art";"Geschlecht";"Nachweisart";"Anzahl";"andere Nachweisart";"Genetik";"frisch";"Losungsfund auf Schnee";"Harnsaeurebelag";"Blinddarmlosung";"Totholz stehend";"Totholz liegend";"Wurzelteller";"Terrassen-Hangverebnung";"Ameisenhaufen";"Felsblock";"Felswand";"Anthropogene Struktur";"Schlafbaum";"Schneehoehle/Schlafplatz";"aesungsbaum";"Huderstelle";"andere:";"Beschreibung";"Gesang";"Spuren";"Paarbeobachtung";"Gelege";"Fichte";"Laerche";"Zirbe";"Foehre";"Tanne";"sonstige Nadelwald";"Buche";"Ahorn";"Birke";"Eberesche";"sonstige Laubwald";"Freiflaeche";"Nachweisort Baumschicht";"Nadelgebuesch";"Laubgebuesch";"Zwergstraeucher (> 30 cm)";"Art (Zwergstraeucher > 30cm)";"Zwergstraeucher (< 30 cm)";"Art (Zwergstraeucher < 30cm)";"Hochstauden, Farne";"Graeser und Kraeuter";"Boden";"Fels";"Moor, Feuchtflaeche";"Gewaesser fliessend";"Gewaesser stehend";"von Schnee bedeckt";"sonstiges";"sonstiges Beschreibung";"Nachweisort Boden";"Bemerkung/Notiz"
306;"RS008";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 08:50:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"+";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"70";"Heiden & Alpenrose & Juniperus";"0";"20";"0";"0";"0";"0";"0";"10";"0";;"von Schnee bedeckt";
307;"RS008";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 08:50:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Lautaeusserung";"-";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"+";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"70";"Heiden & Alpenrose & Juniperus";"0";"20";"0";"0";"0";"0";"0";"10";"0";;;
308;"RS009";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:09:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"60";"Alpenrose & Juniperus";"0";"30";"0";"0";"0";"0";"0";"10";"0";;"von Schnee bedeckt";
309;"RS010";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:20:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Losung";"-";;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"40";"Alpenrose & Juniperus";"0";"30";"0";"0";"0";"0";"0";"30";"0";;"von Schnee bedeckt";
310;"RS010";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:20:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Lautaeusserung";"-";;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;;;0;0;0;0;"0";"0";"+";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"40";"Alpenrose & Juniperus";"0";"30";"0";"0";"0";"0";"0";"30";"0";;"Nadelgebuesch";
311;"RS011";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:28:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"20";"Alpenrose";"0";"30";"0";"0";"10";"0";"0";"40";"0";;"von Schnee bedeckt";
312;"RS011";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:28:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Feder";"-";;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"20";"Alpenrose";"0";"30";"0";"0";"10";"0";"0";"40";"0";;"unbestimmt";
313;"RS012";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 10:11:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"+";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"10";"Alpenrose & Juniperus";"0";"0";"0";"10";"0";"0";"0";"80";"0";;"von Schnee bedeckt";
314;"RS012";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 10:11:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"+";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"10";"Alpenrose & Juniperus";"0";"0";"0";"10";"0";"0";"0";"80";"0";;"von Schnee bedeckt";
315;"RS012";"C";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 10:11:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"mehr";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;0;0;0;0;"0";"0";"+";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"10";"Alpenrose & Juniperus";"0";"0";"0";"10";"0";"0";"0";"80";"0";;"von Schnee bedeckt";
316;"RS012";"D";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 10:11:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"mehr";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;0;0;0;0;"0";"0";"+";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"10";"Alpenrose &Juniperus";"0";"0";"0";"10";"0";"0";"0";"80";"0";;"von Schnee bedeckt";
317;"RS013";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 10:31:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"10";"Alpenrose";"0";"10";"0";"0";"0";"0";"0";"80";"0";;"von Schnee bedeckt";
318;"RS013";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 10:31:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"10";"Alpenrose";"0";"10";"0";"0";"0";"0";"0";"80";"0";;"unbestimmt";
319;"RS014";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 10:42:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"10";"Alpenrose";"0";"40";"0";"0";"0";"0";"0";"50";"0";;"von Schnee bedeckt";
320;"RS015";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 10:57:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"60";"Alpenrose";"0";"0";"0";"+";"0";"0";"0";"40";"0";;"von Schnee bedeckt";
321;"RS016";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 11:14:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"mehr";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"10";"Alpenrose";"0";;"0";"0";"0";"0";"0";"0";"0";"90";"0";;"von Schnee bedeckt";
322;"RS016";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 11:14:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"mehr";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"10";"Alpenrose";"0";;"0";"0";"0";"0";"0";"0";"0";"90";"0";;"von Schnee bedeckt";
323;"RS016";"C";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 11:14:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"mehr";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"10";"Alpenrose";"0";;"0";"0";"0";"0";"0";"0";"0";"90";"0";;"von Schnee bedeckt";
324;"RS017";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 11:32:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"mehr";;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"60";"Alpenrose";"0";;"0";"40";"0";"0";"0";"0";"0";"0";"0";;"Graeser und Kraeuter";
325;"RS017";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 11:32:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"mehr";;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"60";"Alpenrose";"0";;"0";"40";"0";"0";"0";"0";"0";"0";"0";;"unbestimmt";
326;"RS018";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 11:42:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"50";"Alpenrose";;;"0";"40";"0";"0";"0";"0";"0";"10";"0";;"von Schnee bedeckt";
327;"RS019";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 12:14:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"0";;"0";"10";"0";"+";"0";"0";"0";"90";"0";;"von Schnee bedeckt";
328;"RS020";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 12:38:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"30";"Alpenrose & Heiden";"0";"40";"0";"10";"0";"0";"0";"20";"0";;"von Schnee bedeckt";
329;"RS021";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 12:51:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"0";;"0";"40";"0";"20";"0";"0";"0";"40";"0";;"von Schnee bedeckt";
330;"RS022";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 13:10:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"mehr";;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"20";"Alpenrose";"0";"80";"0";"0";"0";"0";"0";"0";"0";;"Graeser und Kraeuter";
331;"RS023";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 13:28:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"60";"Alpenrose & Heiden";"0";"40";"0";"0";"0";"0";"0";"0";"0";;"Graeser und Kraeuter";
332;"ME001";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 07:19:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"unklar";"Losung";"1-5";;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"20";"30";"0";"0";"0";"0";"0";"0";"0";"50";;"20";"0";"50";"Alpenrose";"0";;"0";"30";"0";"0";"0";"0";"0";"0";"0";;"Graeser und Kraeuter";
333;"ME001";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 07:19:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Lautaeusserung";"1-5";;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"20";"30";"0";"0";"0";"0";"0";"0";"0";"50";;"20";"0";"50";"Alpenrose";"0";;"0";"30";"0";"0";"0";"0";"0";"0";"0";;"unbestimmt";
334;"ME002";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 07:40:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Sichtung";"1-5";;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"50";"0";"0";"0";"0";"0";"0";"0";"0";"50";"Zirbe";"50";"0";"30";"Alpenrose";"0";;"0";"20";"0";"0";"0";"0";"0";"0";"0";;;
335;"ME002";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 07:40:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Lautaeusserung";"1-5";;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"50";"0";"0";"0";"0";"0";"0";"0";"0";"50";;"50";"0";"30";"Alpenrose";"0";;"0";"20";"0";"0";"0";"0";"0";"0";"0";;"unbestimmt";
336;"ME002";"C";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 07:40:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Lautaeusserung";"1-5";;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"50";"0";"0";"0";"0";"0";"0";"0";"0";"50";;"50";"0";"30";"Alpenrose";"0";;"0";"20";"0";"0";"0";"0";"0";"0";"0";;"unbestimmt";
337;"ME003";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 08:45:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"mehr";;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"10";"0";"0";;"50";"Alpenrose";"0";"40";"0";"0";"0";"0";"0";"0";"0";;"Zwergstraeucher < 30 cm";
338;"ME004";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:00:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"weiblich";"Losung";"1-5";;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"10";"0";"0";;"20";"Alpenrose";"0";"70";"0";"0";"0";"0";"0";"0";"0";;"Zwergstraeucher < 30 cm";
339;"ME005";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:27:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Losung";"mehr";;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;;;0;0;0;0;"+";"0";"30";"0";"0";"0";"0";"0";"0";"0";"0";"70";"nicht ueberschirmte Flaeche";"50";"0";"50";"Alpenrose";"0";;"0";"0";"0";"0";"0";"0";"0";"0";"0";;;
340;"ME005";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:27:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;;;0;0;0;0;"+";"0";"30";"0";"0";"0";"0";"0";"0";"0";"0";"70";;"50";"0";"50";"Alpenrose";"0";;"0";"0";"0";"0";"0";"0";"0";"0";"0";;;
341;"ME005";"C";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:27:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"weiblich";"Losung";"1-5";;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;;;0;0;0;0;"+";"0";"30";"0";"0";"0";"0";"0";"0";"0";"0";"70";;"50";"0";"50";"Alpenrose";"0";;"0";"0";"0";"0";"0";"0";"0";"0";"0";;;
342;"ME006";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:47:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"80";"0";"0";"0";"0";"0";"0";"0";"0";"20";;"20";"0";"70";"Alpenrose";"0";;"0";"10";"0";"0";"0";"0";"0";"0";"0";;"Zwergstraeucher > 30 cm";
343;"ME006";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:47:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"unklar";"Losung";"6-12";;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"80";"0";"0";"0";"0";"0";"0";"0";"0";"20";"Zirbe";"20";"0";"70";"Alpenrose";"0";;"0";"10";"0";"0";"0";"0";"0";"0";"0";;;
344;"ME006";"C";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 09:47:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"maennlich";"Sichtung";"1-5";;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"80";"0";"0";"0";"0";"0";"0";"0";"0";"20";;"20";"0";"70";"Alpenrose";"0";;"0";"10";"0";"0";"0";"0";"0";"0";"0";;;
345;"ME007";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 10:15:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"weiblich";"Losung";"1-5";;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;;0;0;0;0;"0";"0";"70";"0";"0";"0";"0";"0";"0";"0";"0";"30";;"10";"0";"10";"Alpenrose";"0";;"0";"80";"0";"0";"0";"0";"0";"0";"0";;;
346;"ME008";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 10:24:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;;;0;0;0;0;"0";"0";"50";"0";"0";"0";"0";"0";"0";"0";"0";"50";;"70";"0";"0";;"0";;"0";"30";"0";"0";"0";"0";"0";"0";"0";;"Nadelgebuesch";
